bemerkungen,kreditpunkte,laufnummer,modulbezeichnung,modulbezeichnung_alternativ,kuerzel,semester,id_niveau,stichwoerter,id_sprache,letzte_aenderung,anzahl_durchfuehrungen,id_leistungsnachweis,lerninhalte,aktiv,stundenplanrelevant,summerschool,id_modus,id_herkunft,neu,winterschool,bibliographie,raumanforderung,id_methode,bonus,vorschlagsnote_anteil,zwischenpruefungen_anteil,msp,schlusspruefung_anteil,praktische_arbeit_anteil,id_modultyp,min_studis,max_studis,studis_geschaetzt,modulnummer
,3,B-LS-MT 014,Med. Messtechnik I,Medizinische Messtechnik I,MMTI,4,,Bioelektrische Signale / Nichtelektrische Biosignale / Physikalische Prinzipien und assoziierte Sensoren zur Erfassung von Biosignalen / Eigenschaften eines Sensors / Messbrücken / Fehleranalyse / Funktionsweise einer Messkette.,1,2021-05-22,1,50,"<ul>
 <li><font face=Arial size=2>Entwicklung einer Messkette zur Erfassung eines Biosignals</font></li>
 <li><font face=Arial size=2>Eigenschaften der wichtigsten biologischen Signale, die in der Medizin gemessen werden</font></li>
 <li><font face=Arial size=2>Sensortechnologien der Medizinischen Messtechnik</font><font
     size=2>&nbsp;</font></li>
</ul>",t,t,f,2,MT,f,f,,,,f,,,,100,,2,1,45,40,182
,3,M-SLS-MSc C6,Industrial Chemical Process Safety,,ICPRS,2,,,2,2022-01-04,1,,,t,t,f,20,,f,f,,,,f,,,,,,1,1,400,1,494
,3,M-SLS-MSc BECS3,Medical Imaging and Image Processing,,MIIP,2,,,,2021-05-04,1,,,t,t,f,18,,f,f,,,,f,,,,,,1,1,400,27,170
,3,M-SLS-MSc C1,Materials Science,,MS,1,,,,2021-05-04,1,,,t,t,f,17,,f,f,,,,f,,,,,,1,1,400,38,166
,3,M-SLS-MSc C2,Surface Characterisation,,SC,1,,,,2021-05-04,1,,,t,t,f,18,,f,f,,,,f,,,,,,1,1,400,40,172
,3,B-LS-CH 016,Mikroskopische. u bildgebende Verfahren,Mikroskopische und bildgebende spektroskopische Verfahren,MBSV,5,,"Grundlagen der optischen Mikroskopie, Aufbau und Funktion der Komponenten / Kontrastverfahren, Phasenkontrast, Differential-Interferenz-Kontrast, Hell-Dunkel-Feld/ Fluoreszensmikroskopie / Konfokale-, Multiphotonen-Mikroskopie / Superresolution Microsopy / Probenvorbereitung / Grundlagen der Elektronenmikroskopie, SEM, TEM, Kontrastverfahren / Probenvorbereitung, Kontrastierungstechniken / Einführung in die abbildende Spektroskopie, IR, RAMAN, TofSIMS / Grundlagen der Bildanalyse.",1,2021-05-22,1,52,"<ul>
 <li><font face=Arial size=2>Grundlagen der optischen Abbildung</font></li>
 <li><font face=Arial size=2>Grundlagen der optischen Mikroskopie, Kontrastverfahren, DIC, Phasenkontrast, Dunkelfeld, Fluoreszenz</font></li>
 <li><font face=Arial size=2>Weiterführende mikroskopische Abbildungstechniken: Konfokale Mikroskopie, Zwei Photonenmikroskopie, Superresolution-Techniken </font></li>
 <li><font face=Arial size=2>Grundlagen der Elektronenmikroskopie (SEM/TEM); Probenvorbereitungstechniken. </font></li>
 <li><font face=Arial size=2>Einführung in Bildgebende spektroskopische Techniken (Raman, IR; Photoakustik, ToF Sims)</font></li>
 <li><font face=Arial size=2>Einführung in die Bildanalyse</font></li>
 <li><font face=Arial size=2>Röntgenmikroskopie (uCT)</font><font size=2>&nbsp;</font></li>
</ul>",t,t,f,3,CH,f,f,,,,f,,,,100,,1,1,40,20,295
"",3,B-LS-CH 018,Massenspektrometrie III,Massenspektrometrie III,MS3,4,,Optimierung und Anwendung der LC-MS- und UPLC-MS-Kopplung zur Strukturaufklärung komplexer Substanzgemische / Probenvorbereitung von Naturstoffen und Biofluids / Validierung analytischer Methoden für quantitative Analysen gemäss ICH-Richtlinien.,1,2021-05-22,1,52,"<ul>
 <li><font face=Arial size=2>Optimierung von hochauflösenden chromatographischen Methoden für die mit Kopplung mit Massenspektrometrie.</font></li>
 <ul>
  <li><font face=Arial size=2>UHPLC Methoden für schnelle und hochaufgelöste Trennungen</font></li>
  <li><font face=Arial size=2>Einsatz der hochauflösenden MS zur Strukturbestätigung</font></li>
 </ul>
 <li><font face=Arial size=2>Matrixeffekte und Ionen-Suppression als wichtige Einflussgrössen bei der Quantifizierung von Analyten in komplexen biologischen Proben </font></li>
 <li><font face=Arial size=2>Probenvorbereitungs- und Anreicherungsstrategien für Naturstoffe, Biofluids und komplexe Proben aus der Life Sciences</font></li>
 <li><font face=Arial size=2>Validierung analytischer Methoden für quantitative Analysen gemäss ICH-Richtlinien.</font></li>
 <ul>
  <li><font face=Arial size=2>Validierungsparameter für die LC-MS</font></li>
 </ul>
 <li><font face=Arial size=2>Experimentelles Set-up für Validierungen</font><font
     size=2>&nbsp;</font></li>
</ul>",t,t,f,3,CH,f,f,,,,f,25,,,75,,1,1,40,15,262
"",3,B-LS-CH 019,Automatisierung u Digitalisierung,Automatisierung und Digitalisierung,A&DA,5,,"Automatisierungskonzepte in analytisch chemischen Labors, Vergleich manuelle und automatisierte Probenvorbereitung / Regulatorische Anforderungen / LIMS / Datentypen, Datenvolumen und Datenspeicher / Datenverarbeitung im analytischen Labor / Software für die automatisierte Analyse / Unterstützung von Arbeitsabläufen, digitale Datenintegration und Datenverfolgung / Strategien für '"Data Analytics'".",1,2021-05-22,1,27,"<ul>
 <li><font face=Arial size=2>Automatisierung in der Analytik (Liquid Handling Roboter)</font></li>
 <ul>
  <li><font face=Arial size=2>Theorie</font></li>
  <ul>
   <li><font face=Arial size=2>Roboter-Aufbau</font></li>
   <li><font face=Arial size=2>Definition der einzelnen Komponenten (Carrier, Rack, Container)</font></li>
   <li><font face=Arial size=2>Überblick zu Liquid Classes (Wasser, Lösungsmittel, …)</font></li>
   <li><font face=Arial size=2>Einführung in die Methodenentwicklung</font></li>
  </ul>
  <li><font face=Arial size=2>Praxis (Hands-on)</font></li>
  <ul>
   <li><font face=Arial size=2>Praktische Einführung mit Webcam/Grossbildschirm im Labor</font></li>
   <li><font face=Arial size=2>Arbeiten mit Demo-Methoden</font></li>
   <li><font face=Arial size=2>Programmierung von Methoden am Liquid-Handling Roboter</font></li>
   <li><font face=Arial size=2>Vergleich von manuellen und automatisierten Methoden</font></li>
  </ul>
 </ul>
 <li><font face=Arial size=2>Digitalisierung</font></li>
 <ul>
  <li><font face=Arial size=2>Theorie</font></li>
  <ul>
   <li><font face=Arial size=2>Einführung in Datenvisualisierung mit Spotfire</font></li>
  </ul>
  <li><font face=Arial size=2>Praxis (Hands-on)</font></li>
  <ul>
   <li><font face=Arial size=2>Digitale Visualisierung multidimensionaler Daten mit Spotfire</font></li>
   <li><font face=Arial size=2>Bearbeitung von Demo-Datensätzen aus der Analytik mit Spotfire</font></li>
   <li><font face=Arial size=2>Auswertung eigener Lab-Automation Messdaten</font></li>
   <li><font face=Arial size=2>Interaktives Lernen mit Spotfire (What if Szenario, Filter)</font></li>
   <li><font face=Arial size=2>Entwicklung von Strategien zur Verknüpfung von Lab-Automation, Analytik und Data Mining/Data Visualisation (Screening)</font><font
       size=2>&nbsp;</font></li>
  </ul>
 </ul>
</ul>",t,t,f,3,CH,f,f,,,,f,100,,,,,1,1,60,35,184
,3,B-LS-CH 017,Analytische TT II,Analytische Trenntechniken II,ATT2,3,,"Vertiefung und Anwendungen zu ausgewählten analytischen Trenntechniken (UHPLC, SFC, GC IC, SEC, CE) / Eigenschaften der stationären Phase / Strategien zur Optimierung von HPLC-Methoden.",1,2021-12-02,1,52,"<ul>
 <li><font face=Arial size=2>Vertiefung und Anwendungen zu ausgewählten analytischen Trenntechniken wie (U)HPLC, IC, SEC und CE</font></li>
 <ul>
  <li><font face=Arial size=2>Bedeutung der chromatographischen Kenngrössen im Vergleich der unterschiedlichen Trenntechniken</font></li>
 </ul>
 <li><font face=Arial size=2>Strategien zur Optimierung von chromatographischen Methoden</font></li>
 <ul>
  <li><font face=Arial size=2>Möglichkeiten zur Verbesserung der Auflösung</font></li>
  <li><font face=Arial size=2>Schnelle Chromatographie</font></li>
  <li><font face=Arial size=2>Praktische Ansätze zur Methodenoptimierung</font></li>
 </ul>
 <li><font face=Arial size=2>Einfluss der stationären Phase in der Chromatographie</font></li>
 <ul>
  <li><font face=Arial size=2>Arten der stationären Phase (superficially porous particles, silica rods, sub 2um particles)</font></li>
  <li><font face=Arial size=2>Modifikation der Oberfläche der stationären Phase</font><font
      size=2>&nbsp;</font></li>
  <li><font face=Arial size=2>Säulentests zum Vergleich unterschiedlicher stationärer Phasen</font><font
      size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,3,CH,f,f,,,,f,25,,,75,,1,1,60,35,302
,30,B-LS-CB 300,"Bachelor-Arbeit CB, lang","Bachelor-Arbeit CB, lang",BSTCBa,6,,,3,2021-10-22,1,27,,t,f,f,11,CB,f,f,,,,f,,,,,100,6,1,50,,434
,30,B-LS-CH 300,"Bachelor-Arbeit CH, lang","Bachelor-Arbeit CH, lang",BSTCHa,6,,,3,2021-10-22,1,27,,t,f,f,11,CH,f,f,,,,f,,,,,100,6,1,400,,435
,30,B-LS-MI 300,"Bachelor-Arbeit MI, lang","Bachelor-Arbeit MI, lang",BSTMIa,6,,,3,2021-10-22,1,27,,t,f,f,,MI,f,f,,,,f,,,,,100,6,1,25,,436
,3,B-LS-CB 005,Pr. Upstream Proc. Mikroorganismen,Praktikum Upstream Processing Mikroorganismen,PrUPM,4,,"Herstellung von komplexen Nährmedien / Aufbau, Sterilisation und Inbetriebnahme peripherer Einrichtungen / Proteinproduktion  durch mikrobielle Fermentation / Sterile Probenentnahme / Erfassen von Wachstumskinetiken / Kontrolle der Kultivierungsparameter / Biomasseabtrennung / Lagerung  und Kryokonservierung / Entsorgung des Prozessabfalls / Reinigung und Dekontaminierung der Anlagen / Bilanzierung / PAT: Online-Prozessüberwachung mittels Raman und Osmometer /  Sterilitätstests.",1,2021-05-22,1,27,"<ul>
 <li><font face=Arial size=2>Herstellung von Nährmedien</font></li>
 <li><font face=Arial size=2>Aufbau, Sterilisation und Inbetriebnahme der 2 L Glasreaktoren / 20 L Edelstahlreaktor und peripheren Einrichtungen</font></li>
 <li><font face=Arial size=2>Produktion von sekretierten und nicht sekretierten Proteinen durch mikrobielle Batch- und/oder Fed-Batch Fermentation in E. coli und P. pastoris</font></li>
 <li><font face=Arial size=2>Prozessdokumentation (digitale Aufzeichnung der Prozessparameter, Batch Record)</font></li>
 <li><font face=Arial size=2>In- und offline-Messung der Zellviabilität</font></li>
 <li><font face=Arial size=2>Optimierung der Kultivierungsparameter zur Optimierung von Produktqualität und -ausbeute (insb. Temperatur, Medienzusammensetzung)</font></li>
 <li><font face=Arial size=2>Biomasseabtrennung / Ernte (Separator, Mikrofiltration), abschliessende Tiefenfiltration, Einlagerung</font></li>
 <li><font face=Arial size=2>Abfallentsorgung, Dekontamination, CIP/SIP Fermenter, Sterilitätstest</font><font
     size=2>&nbsp;</font></li>
</ul>",t,f,f,4,CB,f,f,,,,f,,,,,100,3,1,12,10,397
,30,B-LS-MT 300,"Bachelor-Arbeit MT, lang","Bachelor-Arbeit MT, lang",BScMTa,6,,,3,2021-10-22,1,27,,t,f,f,11,MT,f,f,,,,f,,,,,100,6,1,45,,437
,3,B-LS-CB 030,Risikomgt u Qualitätssicherung,Risikomanagement und Qualitätssicherung,RMQS,5,,"Sicherheitslabor-Messungen und -Kompetenzen / Chemieunfälle und die Schweizer Störfallverordnung / Explosionsschutz / Risikoanalyse von industriellen Anlagen am Fallbeispiel / Einführung GMP: Produktion, Engineering und QA / Statistische Datenanalyse bei industriellen Anlagen

",,2021-06-10,1,52,"<div><font face='"Times New Roman'" size=3>&nbsp;&nbsp;</font></div>

<div><font face=Arial size=2><strong>Chemieunfälle und die Schweizer Störfallverordnung</strong></font></div>

<ul>
 <ul>
  <li><font face=Arial size=2>Chemieunfälle als Grund für die Störfallverordnung</font></li>
  <li><font face=Arial size=2>Vorgang beim Vollzug- Aufgaben des Unternehmens</font></li>
 </ul>
</ul>

<div>&nbsp;</div>

<div><font face=Arial size=2><strong>Risikomanagement bei der Anlagensicherheit:</strong></font></div>

<ul>
 <ul>
  <li><font face=Arial size=2>Risikoanalyse in industriellen Anlagen</font></li>
  <li><font face=Arial size=2>Schwerpunkt thermische Prozesssicherheit</font></li>
  <li><font face=Arial size=2>HAZOP anhand eines konkreten Fallbeispiels</font></li>
 </ul>
</ul>

<div>&nbsp;</div>

<div><font face=Arial size=2><strong>Exkursion ins Sicherheitslabor</strong></font></div>

<ul>
 <ul>
  <li><font face=Arial size=2>Messmethoden und Aufgaben des Sicherheitslabors</font></li>
 </ul>
</ul>

<div><font face=Arial size=2>&nbsp;</font></div>

<div><font face=Arial size=2><strong>Explosionsschutz: </strong></font></div>

<ul>
 <ul>
  <li><font face=Arial size=2>Explosionstypen, Verteilung, Zündquellen, Explosionsschutz</font></li>
 </ul>
</ul>

<div>&nbsp;</div>

<div><font face=Arial size=2><strong>Qualitätsmanagement im Kontext von GMP</strong></font></div>

<ul>
 <ul>
  <li><font face=Arial size=2>Einführung in GMP mit Fokus auf die Teilbereiche Produktion, Engineering und Entwicklung von neuen Medikamenten.</font></li>
 </ul>
</ul>

<div>&nbsp;</div>

<div><font face=Arial size=2><strong>Qualitätsmanagement mit statistischer Datenanalyse</strong></font></div>

<ul>
 <ul>
  <li><font face=Arial size=2>Anwendung statistischer Datenanalyse an einem Fallbeispiel (Python und R).</font>&nbsp;</li>
 </ul>
</ul>",t,t,f,3,CB,f,f,,,,f,35,,,65,,1,1,30,8,363
"",3,B-LS-CH 022,Massenspektrometrie II,Massenspektrometrie II,MS2,3,,"Vergleich unterschiedlicher Ionisierungstechniken (ESI, APCI, MALDI, EI & CI) und Massenanalysatoren (Quadrupole, Ionenfallen, Flugzeitmassenspektrometer, Orbitrap und FT-ICR) / Auswertung und Interpretation von verschiedenen MS-Spektren.",1,2021-05-22,1,52,"<ul>
 <li><font face=Arial size=2>Vergleich und Anwendungen der wichtigsten Ionisierungstechniken in der Massenspektrometrie</font></li>
 <ul>
  <li><font face=Arial size=2>Harte Ionisierungstechniken: EI &amp; CI</font></li>
  <li><font face=Arial size=2>Oberflächen desorptive Ionisierungstechniken: MALDI, DESI, DART</font></li>
  <li><font face=Arial size=2>Weiche Ionisierungstechniken: ESI, APCI, MALDI</font></li>
 </ul>
 <li><font face=Arial size=2>Vergleich und Eigenschaften von Massenanalysatoren </font></li>
 <ul>
  <li><font face=Arial size=2>Niederauflösende Analysatoren: Quadrupole und Ionenfallen</font></li>
  <li><font face=Arial size=2>Hochauflösende Analysatoren: Flugzeitmassenspektrometer, Orbitrap und FT-ICR</font></li>
 </ul>
 <li><font face=Arial size=2>MS/MS Experimente für die Strukturaufklärung und Quantifizierung</font></li>
 <ul>
  <li><font face=Arial size=2>Auswertung und Interpretation von verschiedenen MS Spektren (mit Übungen)</font><font
      size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,3,CH,f,f,,,,f,25,,,75,,1,1,40,20,192
,10,B-LS-MI 026,Medizininformatikprojekt,Praxisprojekt MI (Spitalinformatik-Projekt),PrxPMI,6,,"Anhand einer realistischen Fragestellung wird in einem Projektszenario ein komplettes Projekt im Medizininformatik-Umfeld realisiert. Das Projekt umfasst dabei Aspekte aus dem Anforderungs- und Softwareengineering, dem Qualitätsmanagement, dem Aufbau, Konfiguration und Betrieb von verteilten Server-Plattformen, dem iterativen kundenorientierten Design eines grafischen Benutzungsinterface und der Realisierung einer verteilten Software-Anwendung.",1,2021-12-02,1,27,,t,f,f,25,MI,f,f,,,,f,,,,,100,2,1,25,20,323
,30,B-LS-UT 300,"Bachelor-Arbeit UT, lang","Bachelor-Arbeit UT, lang",BSTUTa,6,,,3,2021-10-22,1,27,,t,f,f,11,UT,f,f,,,,f,,,,,100,6,1,20,,439
"",3,B-LS-CH 041,Polymere u Soft Materials,Polymere und Soft Materials,P&SM,4,,"Definition “Hard vs. Soft Materials”, Makromoleküle, Polymere / Einführung in Polymerchemie/ Polymere: synthetisch, natürlich, funktional, Flüssigkristalle, Hydrogele, Polymernanopatikel / Physikochemische Eigenschaften / Charakterisierungsmethoden (NMR, MS, Rheologie, GPC/ Synthese) / Polymerisierungsmethoden, Biosynthese / Funktionalisierung / Anwendung für Polymere und “Soft Materials” in Life Sciences und Industrie.",1,2021-05-22,1,52,"<ul>
 <li><font face=Arial size=2>Grundlagen Polymere</font></li>
 <ul>
  <li><font face=Arial size=2>Kennenlernen der wichtigsten organischen/anorganischen und Biopolymere</font></li>
  <ul>
   <li><font face=Arial size=2>Polymerstrukturen; z.B. syntaktisch, ataktisch</font></li>
  </ul>
  <li><font face=Arial size=2>Kennenlernen der wichtigsten Charakterisierungsmethoden (GPC, DLS; FTIR; Raman, Polydispersität, NMR, HPLC MS)</font></li>
  <li><font face=Arial size=2>Wichtigsten Polymersynthesereaktionen (nicht ionisch; ionisch (kationisch, anionisch); Ringöffnung, radikalisch, advanced Methoden (ATRP, RAFT))</font></li>
  <li><font face=Arial size=2>Photopolymerisation</font></li>
  <li><font face=Arial size=2>&quot;Grafting to&quot; und &quot;Grafting from&quot;</font></li>
  <li><font face=Arial size=2>organisch/anorganische Hybridpolymere</font></li>
  <li><font face=Arial size=2>Anorganische Polymere</font></li>
 </ul>
 <li><font face=Arial size=2>Anwendung und Verarbeitungsverfahren (Processing)</font></li>
 <ul>
  <li><font face=Arial size=2>Additive Manufacturing (3D Druck Verfahren)</font></li>
  <li><font face=Arial size=2>Beschichtungen</font></li>
  <li><font face=Arial size=2>Extrusion</font></li>
  <li><font face=Arial size=2>Lamination</font></li>
  <li><font face=Arial size=2>Layer by Layer</font><font size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,3,CH,f,f,,,,f,,,,100,,1,1,400,30,307
,3,B-LS-KT 026,Einf. Qualitätsmanagement,Einführung ins Qualitätsmanagement,EQM,5,,"Verstehen, welche Prozesse notwendig und welche regulatorischen Vorgaben einzuhalten sind für Unternehmen, welche medizinische, pharmazeutische Produkte entwickeln, produzieren oder einsetzen. Hierzu werden schweizerische, europäische und amerikanische Regelungen sowie Vorschläge von ISO an aktuellen Projekten besprochen.",1,2021-06-09,1,51,"<ul>
 <li><font face=Arial size=2>Begriffe, Regeln und Konzepte, die für das Verständnis des Qualitätsmanagements in den Life Sciences verwendet werden:</font></li>
 <ul>
  <li><font face=Arial size=2>System</font></li>
  <li><font face=Arial size=2>Qualität </font></li>
  <li><font face=Arial size=2>Anforderungen / Fehler, Zuverlässigkeit</font></li>
  <li><font face=Arial size=2>Risikomanagement (ISO 14971)</font></li>
  <li><font face=Arial size=2>Qualitätsmanagement (ISO 9000)</font></li>
  <li><font face=Arial size=2>Verifikation, Validation</font></li>
  <li><font face=Arial size=2>Einsatz, Stellenwert von Normen</font></li>
 </ul>
 <li><font face=Arial size=2>Qualitätsmanagementsysteme (ISO 9001, ISO 13485, 21 CFR 820)</font></li>
 <li><font face=Arial size=2>Regelungen für Medizinprodukte und in vitro und Diagnostika (Schweiz, EU und USA)</font></li>
 <li><font face=Arial size=2>Anwendungen auf GxP Entwicklung und Produktion:</font></li>
 <ul>
  <li><font face=Arial size=2>Good Engineering Practice (GEP)</font></li>
  <li><font face=Arial size=2>Good Manufacturing Practice (GMP)</font></li>
  <li><font face=Arial size=2>Good Laboratory Practice (GLP)</font></li>
  <li><font face=Arial size=2>Good Documentation Practice (GDP)</font></li>
 </ul>
</ul>",t,t,f,1,KT,f,f,,,,f,,,,100,,1,1,80,40,364
,3,B-LS-PT 018,Quality by Design u Prozessanalytik,Quality by Design und Prozessanalytik,QDP,5,,"Grundlagen „Quality by Design“ / Grundlagen „Process Analytical Technologies“ / Analysensysteme und Messmethoden für die Qualitätskontrolle, In-Prozess-Analytik / Laborautomation / Sondentechnik / Datenerfassung und -auswertung / Pilotmassstab – Scale-up Effekte und Technologien / Kommerzielle Herstellung – Herstellverfahren und Technologien / Aspekte der Digitalisierung und des 3D- Druckens von Arzneiformen im pharmazeutischen Qualitätsbereich.",1,2021-12-02,1,50,"<ul>
 <li><font face=Arial size=2>Repetitorium der pharmazeutischen Qualitätsbegriffe</font></li>
 <li><font face=Arial size=2>Vermittlung der Grundkenntnisse der Pharmakopöe</font></li>
 <li><font face=Arial size=2>Statistische Versuchsplanung im Qualitätsbereich</font></li>
 <ul>
  <li><font face=Arial size=2>Grundlagen zu «Screening Designs»</font></li>
  <li><font face=Arial size=2>«Factorial Designs» mit Anwendungen im pharmazeutischen Qualitätsbereich</font></li>
  <li><font face=Arial size=2>Grundlagen der statistischen Prozesskontrolle</font></li>
  <li><font face=Arial size=2>Beurteilung von Prozessfähigkeit</font></li>
 </ul>
 <li><font face=Arial size=2>Grundlagen der Prozessanalyse</font></li>
 <ul>
  <li><font face=Arial size=2>Grundlagen Prozessanalysetypen</font></li>
  <li><font face=Arial size=2>Repetitorium spektroskopischer Grundlagen für Prozessanalytik</font></li>
  <li><font face=Arial size=2>Grundlagen der Sondentechnik</font></li>
  <li><font face=Arial size=2>Partikelmesstechnik für Prozesse</font></li>
 </ul>
 <li><font face=Arial size=2>Grundbegriffe von Quality by Design (QbD)</font></li>
 <li><font face=Arial size=2>Fallstudien zum Einbinden von Prozesstechnologie in QbD</font></li>
 <li><font face=Arial size=2>Seminar zur QbD im Bereich pharmazeutischer Hilfsstoffe</font></li>
 <li><font face=Arial size=2>Praktikum zum Qualitätsbeurteilung fertiger Arzneiformen anhand von Kapselherstellung und Prüfung</font><font
     size=2>&nbsp;</font></li>
</ul>",t,t,f,2,PT,f,f,,,,f,20,,,80,,1,1,20,12,195
,3,B-LS-BZ 045,Pr. Bioanalytik (nicht BZ),Praktikum Bioanalytik für Nicht BZ,PrBAN,3,,Methoden zum Nachweis und zur Charakterisierung von kleinen und grossen Molekülen im Hinblick auf deren Integrität und Funktionalität: Untersuchung der biospezifischen Interaktion mit Biosensoren und Kalorimetern / Bestimmung der Reinheit und des Molekulargewichts von Proteinen mit SEC-HPLC / Bestimmung der Stabilität und der Aggregatbildung von Proteinen mit Lichtstreuung / Enzyme zum Nachweis von Glukose im Selbsttest.,1,2021-05-22,2,27,"<div><font face=Arial size=2>Die Bioanalytik vereinigt physikalische, chemische und biologische Methoden zum Nachweis und zur Charakterisierung von kleinen und grossen Molekülen im Hinblick auf deren Integrität und Funktionalität.</font></div>

<ul>
 <li><font face=Arial size=2>Untersuchung der biospezifischen Interaktion zwischen Antigen und Antikörper mittels Biacore und Octet. Charakterisierung der Bindungseigenschaften (KD, ka, kd, </font><font
     face=Symbol size=2>t</font><font face=Arial size=2>)</font></li>
 <li><font face=Arial size=2>Untersuchung der biospezifischen Interaktion zwischen Ligand und Bindungsprotein mittels Kalorimeter (ITC). Charakterisierung von thermodynamischen Parametern (</font><font
     face=Symbol size=2>D</font><font face=Arial size=2>H, </font><font
     face=Symbol size=2>D</font><font face=Arial size=2>S, </font><font
     face=Symbol size=2>D</font><font face=Arial size=2>G, KA)</font></li>
 <li><font face=Arial size=2>Nachweis von Protein bzw. Antikörper Aggregaten mittels statischer und dynamischer Lichtstreuung. Abschätzung des Molekulargewichts (Mr)</font></li>
 <li><font face=Arial size=2>Bestimmung der Reinheit und des Molekulargewichts von Proteinen mit Grössenausschlusschromatographie (SEC-HPLC).</font></li>
 <li><font face=Arial size=2>Nachweis von Glukose mittels eines elektrochemischen Biosensors.</font><font
     size=2>&nbsp;</font></li>
</ul>",t,f,f,12,BZ,f,f,,,,f,,,,,100,3,1,15,16,79
"",3,B-LS-CB 007,Fallstudie Chem. Prozesstechnik I,Fallstudie Chemische Prozesstechnik I,PrCPT1,5,,Scale-Up von chemischen Prozessen anhand realer Fallstudien: Laborverfahren / Analytik /Mengenfluss / Scale-Down-Experimente / Prozesssicherheit / Werkstoffbeständigkeit / Lösemittelregeneration / Abwasserentsorgung  (Teil I).,1,2021-12-02,1,27,"<div><font face=Arial size=2><strong>Anhand einer Fallstudie in einem realen Betrieb werden die wichtigsten Elemente einer Pilotierung für den Scale-Up einer chemischen Reaktion in den Produktionsmassstab erarbeitet (TEIL I):</strong></font></div>

<div>&nbsp;</div>

<ul>
 <li><font face=Arial size=2><strong>Scale-Down der Produktionsanalage</strong> in den Labormassstab: Heiz/Kühlsystem, Regelverhalten des Heiz/Kühlsystems, Mischverhalten, Stofftransport, Werkstoffbeständigkeit.</font></li>
 <li><font face=Arial size=2><strong>Durchführung von repräsentativen Laborversuchen im PTC</strong> auf einem Scale-Down-Reaktor: Mengenbilanz des Prozesses (inkl. Abwasser, Abfall und Abluftquantifizierung), Reaktionskalorimetrie, Miniplantvorschrift, Korrosionsdaten.</font></li>
 <li><font face=Arial size=2>Erstellen eines Konzeptes für die <strong>Abfallentsorgung bzw. Regeneration</strong>.</font></li>
 <li><font face=Arial size=2>Messen und Auswerten der <strong>sicherheitstechnischen Basisdaten</strong> für die Prozessrisikoanalyse (Differential Scanning Calorimetry + thermokinetische Auswertung mit Matlab) .</font></li>
 <li><font face=Arial size=2>Erstellen eines <strong>thermokinetischen Reaktionsmodells</strong> mit Matlab.</font></li>
 <li><font face=Arial size=2>Erstellen eines <strong>dynamischen Prozessmodells mit Matlab</strong>: Implementieren des thermokinetischen Reaktionsmodells in ein vorgegebenes Model zur Abbildung des Heiz/Kühlsystems. Simulation der wesentlichen Prozessdaten im Produktionsmassstab : Druck- und Temperaturverläufe, Massenflüsse in Destillations- bzw. Abluftsystemen.</font></li>
 <li><font face=Arial size=2>Erstellen einer <strong>Pilotvorschrift</strong> für eine real existierende Produktionsanlage.</font></li>
</ul>",t,f,f,4,CB,f,f,,,,f,,,,,100,3,1,10,8,322
,3,B-LS-KT 003,Projektmanagement,Projektmanagement,PMgt,1,,"Planung und Realisierung von Investitionsgütern / Durchführung von Innovationsprojekten / Projektmanagement – agil, klassisch, hybrid / Aufbau- und Ablauforganisation / Projektstrukturplan / Termin-, Ressourcen- und Kostenplanung / Fortschritt- und Kostencontrolling / Mensch und Team im Projekt / Konventionelles vs. Agiles Projektmanagement / Hybrides Projektmanagement / Fallbeispiele",1,2021-05-22,1,53,"<ul>
 <li><font face=Arial size=2>Projektbeteiligte</font></li>
 <ul>
  <li><font face=Arial size=2>Stakeholder/-management</font></li>
  <li><font face=Arial size=2>Projektumgebung </font></li>
  <li><font face=Arial size=2>Menschen im Projekt - Kommunikation</font></li>
 </ul>
 <li><font face=Arial size=2>Konventionelles Projektmanagement</font></li>
 <ul>
  <li><font face=Arial size=2>Planung und Realisierung von Investitionsprojekten</font></li>
  <li><font face=Arial size=2>Aufbau- und Ablauforganisation von Projekten</font></li>
  <li><font face=Arial size=2>Projektstrukturplanung</font></li>
  <li><font face=Arial size=2>Terminplanung</font></li>
  <li><font face=Arial size=2>Ressourcen- und Kostenplanung</font></li>
  <li><font face=Arial size=2>Fortschritt- und Kostencontrolling</font></li>
 </ul>
 <li><font face=Arial size=2>Agiles Projektmanagement</font></li>
 <ul>
  <li><font face=Arial size=2>Rollenverteilung im Scrum-Projekt</font></li>
  <li><font face=Arial size=2>Scrum PM in der Softwareentwicklung und</font></li>
  <li><font face=Arial size=2>Scrum bei innovativen Projektzielen, z.B. in der Forschung</font></li>
 </ul>
 <li><font face=Arial size=2>Hybrid Projektmanagement</font></li>
 <ul>
  <li><font face=Arial size=2>Agile Methoden im klassischen Projektmanagement</font><font
      size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,9,KT,f,f,,,,f,60,,,40,,1,1,20,17,339
